Motorway,Surface,Number,Type,Vegetation,Use,Fishing,Green frogs,Brown frogs,Common toad
A1,600,1,1,4,0,0,0,0,0
A1,700,1,5,1,3,1,0,1,1
A1,200,1,5,1,3,4,0,1,1
A1,300,1,5,0,3,4,0,0,1
A1,600,2,1,4,0,0,0,1,1
A1,200,1,5,1,1,0,0,0,0
A1,500,1,5,0,1,2,0,0,1
A1,700,1,5,2,0,0,1,1,0
A1,750,2,5,1,0,1,0,1,1
A1,200,1,12,4,0,0,0,1,1
A1,200,1,1,4,0,0,1,0,0
A1,300,1,14,2,0,0,0,1,1
A1,7000,1,1,1,3,3,1,0,1
A1,1700,1,1,1,0,1,1,1,1
A1,8000,1,1,3,0,0,0,1,1
A1,30000,1,1,3,0,0,1,1,1
A1,300,1,12,4,0,0,0,1,1
A1,300,1,15,1,0,0,0,1,1
A1,1600,3,1,0,3,1,1,1,1
A1,3800,6,1,2,3,1,1,0,1
A1,7000,6,1,1,3,4,1,0,1
A1,2500,1,1,3,0,1,1,0,1
A1,800,1,1,0,3,4,0,1,1
A1,1700,1,1,3,0,0,0,1,1
A1,300,1,1,2,0,0,1,0,0
A1,4500,1,1,1,3,2,1,1,1
A1,1000,1,12,4,0,0,0,1,0
A1,7000,1,1,4,0,0,0,0,0
A1,30000,1,1,3,1,0,1,1,1
A1,7000,1,1,3,0,0,0,1,1
A1,3300,1,1,3,0,0,0,1,0
A1,2100,1,1,3,0,0,0,0,0
A1,500,1,1,0,3,4,1,1,0
A1,400,2,1,2,0,0,0,1,0
A1,300,1,1,1,0,0,0,1,1
A1,1100,1,1,0,3,4,0,1,1
A1,1000,1,1,2,0,0,0,0,0
A1,400,1,5,1,1,0,0,0,1
A1,100,1,1,2,0,0,0,1,0
A1,100,1,5,1,3,0,1,0,0
A1,80000,1,12,4,0,0,1,0,0
A1,200,1,12,4,0,0,0,0,1
A1,100,1,11,4,0,0,0,0,1
A1,2500,1,1,3,0,0,0,1,0
A1,31000,6,1,0,3,4,1,1,1
A1,500,1,12,4,0,0,1,1,1
A1,25000,5,1,0,3,4,1,0,0
A1,40000,1,1,1,3,2,1,1,0
A1,1900,7,12,4,0,0,1,1,0
A1,30,1,1,2,0,0,0,1,1
A1,4300,1,1,3,0,0,1,1,1
A1,4000,1,1,3,0,0,1,1,1
A1,300,1,1,4,0,0,0,1,0
A1,400,1,1,2,0,0,0,1,0
A1,1000,1,1,1,0,0,1,1,1
A1,1500,2,2,2,1,2,0,1,1
A1,300,1,14,3,0,0,1,1,1
A1,600,1,1,2,0,0,0,0,0
A1,28300,4,1,1,3,2,1,1,1
A1,1000,1,1,0,3,3,1,0,1
A1,50,1,1,2,0,0,1,1,1
A1,9000,2,2,0,1,2,1,0,1
