ID,day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
0,1,6,2012,29,57.0,18.0,0.0,65.7,3.4,7.6,1.3,3.4,0.5,not fire
1,2,6,2012,29,61.0,13.0,1.3,64.4,4.1,7.6,1.0,3.9,0.4,not fire
2,3,6,2012,26,82.0,22.0,13.1,47.1,2.5,7.1,0.3,2.7,0.1,not fire
3,4,6,2012,25,89.0,13.0,2.5,28.6,1.3,6.9,0.0,1.7,0.0,not fire
4,5,6,2012,27,77.0,16.0,0.0,74.92608695652174,3.0,14.2,1.2,3.9,0.5,not fire
5,6,6,2012,31,67.0,14.0,0.0,82.6,5.8,22.2,3.1,7.0,5.489473684210527,fire
6,7,6,2012,33,54.0,13.0,0.0,88.2,9.9,30.5,6.4,10.9,7.2,fire
7,8,6,2012,30,67.8859649122807,15.0,0.0,86.6,12.1,38.3,5.6,13.5,7.1,fire
8,9,6,2012,25,88.0,13.0,0.2,52.9,7.9,38.8,0.4,10.5,0.3,not fire
9,10,6,2012,28,79.0,12.0,0.0,73.2,9.5,46.3,1.3,12.6,0.9,not fire
10,11,6,2012,31,65.0,14.0,0.0,84.5,12.5,54.3,4.0,15.8,5.6,fire
11,12,6,2012,26,81.0,19.0,0.0,84.0,13.8,61.4,4.8,17.7,7.1,fire
12,13,6,2012,27,84.0,21.0,1.2,50.0,6.7,17.0,0.5,6.7,0.2,not fire
13,14,6,2012,30,78.0,20.0,0.5,59.0,4.6,7.8,1.0,4.4,0.4,not fire
14,15,6,2012,28,80.0,17.0,3.1,49.4,3.0,7.4,0.4,3.0,0.1,not fire
15,16,6,2012,29,89.0,13.0,0.7,36.1,1.7,7.6,0.0,2.2,0.0,not fire
16,17,6,2012,30,89.0,16.0,0.6,37.3,1.1,7.8,0.0,1.6,0.0,not fire
17,18,8,2012,31,78.0,14.0,0.3,56.9,1.9,8.0,0.7,2.4,0.2,not fire
18,19,6,2012,31,55.0,16.0,0.8267857142857142,79.9,4.5,16.0,2.5,5.3,1.4,not fire
19,20,6,2012,30,80.0,16.0,0.4,59.8,3.4,27.1,0.9,5.1,0.4,not fire
20,21,6,2012,30,78.0,14.0,0.0,81.0,6.3,31.6,2.6,8.4,2.2,fire
21,22,6,2012,31,67.0,17.0,0.1,79.1,7.0,39.5,2.4,9.7,2.3,not fire
22,23,6,2012,32,62.0,18.0,0.1,81.4,8.2,47.7,3.3,11.5,3.8,fire
23,24,6,2012,32,66.0,17.0,0.0,85.9,11.2,55.8,5.6,14.9,7.5,fire
24,25,6,2012,31,64.0,15.0,0.0,86.7,14.2,63.8,5.7,18.3,8.4,fire
25,26,6,2012,31,64.0,18.0,0.0,86.8,17.8,71.8,6.7,21.6,10.6,fire
26,27,6,2012,34,53.0,18.0,0.0,89.0,12.505263157894737,80.3,9.2,25.8,15.0,fire
27,28,6,2012,32,55.0,14.0,0.0,89.1,25.5,88.5,7.6,29.7,13.9,fire
28,29,6,2012,32,47.0,13.0,0.3,79.9,18.4,84.4,2.2,23.8,3.9,not fire
29,30,6,2012,33,50.0,14.0,0.0,88.7,22.9,92.8,7.2,28.3,12.9,fire
30,1,7,2012,29,68.0,19.0,1.0,59.9,2.5,54.61043478260869,1.1,2.9,0.4,not fire
31,2,7,2012,27,75.0,19.0,1.2,55.7,12.505263157894737,8.3,0.8,2.8,0.3,not fire
33,4,7,2012,33,78.0,17.0,0.0,80.1,4.6,18.5,2.7,5.7,1.7,not fire
34,5,7,2012,33,66.0,14.0,0.0,85.9,7.6,27.9,4.8,9.1,4.9,fire
35,6,7,2012,32,63.0,14.0,0.0,87.0,10.9,37.0,5.6,12.5,6.8,fire
36,7,7,2012,35,64.0,18.0,0.8267857142857142,80.0,9.7,40.4,2.8,12.1,3.2,not fire
37,8,7,2012,33,68.0,19.0,0.0,85.6,12.5,49.8,6.0,15.4,8.0,fire
39,10,7,2012,33,69.0,13.0,0.7,66.6,6.0,9.3,1.1,5.8,0.5,not fire
40,11,7,2012,33,76.0,14.0,0.0,81.1,8.1,18.7,2.6,8.1,2.2,not fire
